2024-09-15 11:08:52,566 - root - INFO - We are starting the data analysis in Jupyter Notebook
2024-09-15 11:08:52,885 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\syamc\\anaconda3\\envs\\credit-card\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-09-15 11:08:52,885 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\syamc\\anaconda3\\envs\\credit-card\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-09-15 11:08:52,885 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\syamc\\anaconda3\\envs\\credit-card\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-09-15 11:08:52,885 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\syamc\\anaconda3\\envs\\credit-card\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-09-15 11:08:52,885 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\syamc\\anaconda3\\envs\\credit-card\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-09-15 11:08:52,885 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\syamc\\anaconda3\\envs\\credit-card\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2024-09-15 11:08:52,885 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\syamc\\anaconda3\\envs\\credit-card\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-09-15 11:08:52,885 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\syamc\\anaconda3\\envs\\credit-card\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-09-15 11:08:52,885 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\syamc\\anaconda3\\envs\\credit-card\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
2024-09-15 11:08:52,885 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\syamc\\anaconda3\\envs\\credit-card\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-09-15 11:08:52,885 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\syamc\\anaconda3\\envs\\credit-card\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-09-15 11:08:52,885 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\syamc\\anaconda3\\envs\\credit-card\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-09-15 11:08:52,885 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\syamc\\anaconda3\\envs\\credit-card\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-09-15 11:08:52,885 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\syamc\\anaconda3\\envs\\credit-card\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-09-15 11:08:52,885 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\syamc\\anaconda3\\envs\\credit-card\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-09-15 11:08:52,885 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\syamc\\anaconda3\\envs\\credit-card\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-09-15 11:08:52,885 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\syamc\\anaconda3\\envs\\credit-card\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-09-15 11:08:52,885 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\syamc\\anaconda3\\envs\\credit-card\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-09-15 11:08:52,885 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\syamc\\anaconda3\\envs\\credit-card\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2024-09-15 11:08:52,885 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\syamc\\anaconda3\\envs\\credit-card\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-09-15 11:08:52,885 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\syamc\\anaconda3\\envs\\credit-card\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-09-15 11:08:52,885 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\calibrib.ttf', name='Calibri', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-09-15 11:08:52,885 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\sylfaen.ttf', name='Sylfaen', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-09-15 11:08:52,885 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\cour.ttf', name='Courier New', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
